Country,city_name,stat_date(月),Daily Orders
MX,Abejones,2024-06-01 / 2024-06-01,-
MX,La Piedad,2024-06-01 / 2024-06-01,-
MX,Apizaco,2024-06-01 / 2024-06-01,-
MX,Zamora,2024-06-01 / 2024-06-01,-
MX,Comitan de Dominguez,2024-06-01 / 2024-06-01,-
MX,Minatitlan,2024-06-01 / 2024-06-01,-
MX,Uruapan,2024-06-01 / 2024-06-01,0
MX,Chilpancingo de los Bravo,2024-06-01 / 2024-06-01,0
MX,Orizaba,2024-06-01 / 2024-06-01,0
MX,Tulancingo,2024-06-01 / 2024-06-01,-
MX,Cordoba,2024-06-01 / 2024-06-01,569
MX,Las Choapas,2024-06-01 / 2024-06-01,86
MX,Carmen,2024-06-01 / 2024-06-01,228
MX,Puebla,2024-06-01 / 2024-06-01,3154
MX,Tuxtla Gutierrez,2024-06-01 / 2024-06-01,1974
MX,Tehuacan,2024-06-01 / 2024-06-01,253
MX,Xalapa,2024-06-01 / 2024-06-01,331
MX,Coatzacoalcos,2024-06-01 / 2024-06-01,230
MX,Veracruz,2024-06-01 / 2024-06-01,1081
MX,Pachuca,2024-06-01 / 2024-06-01,495
MX,Tlaxcala,2024-06-01 / 2024-06-01,434
MX,Poza Rica de Hidalgo,2024-06-01 / 2024-06-01,158
MX,Morelia,2024-06-01 / 2024-06-01,2356
MX,Tapachula,2024-06-01 / 2024-06-01,216
MX,Oaxaca,2024-06-01 / 2024-06-01,1337
MX,Cuernavaca,2024-06-01 / 2024-06-01,1882
MX,Cancun,2024-06-01 / 2024-06-01,1535
MX,Villahermosa,2024-06-01 / 2024-06-01,1464
MX,Chetumal,2024-06-01 / 2024-06-01,155
MX,Merida,2024-06-01 / 2024-06-01,1095
MX,Acapulco,2024-06-01 / 2024-06-01,287
MX,San Cristobal de las Casas,2024-06-01 / 2024-06-01,217
MX,Campeche,2024-06-01 / 2024-06-01,488
MX,Solidaridad,2024-06-01 / 2024-06-01,212
MX,Guaymas,2024-06-01 / 2024-06-01,0
MX,Navojoa,2024-06-01 / 2024-06-01,302
MX,Nogales(SON),2024-06-01 / 2024-06-01,0
MX,Guadalajara,2024-06-01 / 2024-06-01,13008
MX,La Paz,2024-06-01 / 2024-06-01,1052
MX,Colima,2024-06-01 / 2024-06-01,1130
MX,Tijuana,2024-06-01 / 2024-06-01,3252
MX,Manzanillo,2024-06-01 / 2024-06-01,494
MX,Los Mochis-Guasave,2024-06-01 / 2024-06-01,877
MX,Puerto Vallarta,2024-06-01 / 2024-06-01,739
MX,Los Cabos,2024-06-01 / 2024-06-01,706
MX,Ciudad Obregon,2024-06-01 / 2024-06-01,1185
MX,Tepic,2024-06-01 / 2024-06-01,1575
MX,Hermosillo,2024-06-01 / 2024-06-01,1674
MX,Mazatlan,2024-06-01 / 2024-06-01,979
MX,Ensenada,2024-06-01 / 2024-06-01,2338
MX,Mexicali,2024-06-01 / 2024-06-01,4550
MX,Culiacan,2024-06-01 / 2024-06-01,2131
MX,San Miguel de Allende,2024-06-01 / 2024-06-01,0
MX,Guanajuato,2024-06-01 / 2024-06-01,-
MX,Valles City,2024-06-01 / 2024-06-01,-
MX,Piedras Negras,2024-06-01 / 2024-06-01,-
MX,Monclova,2024-06-01 / 2024-06-01,0
MX,Reynosa,2024-06-01 / 2024-06-01,0
MX,Aguascalientes,2024-06-01 / 2024-06-01,1414
MX,Saltillo,2024-06-01 / 2024-06-01,955
MX,Nuevo Laredo,2024-06-01 / 2024-06-01,644
MX,Chihuahua,2024-06-01 / 2024-06-01,1711
MX,Matamoros,2024-06-01 / 2024-06-01,1192
MX,Leon,2024-06-01 / 2024-06-01,1881
MX,Queretaro,2024-06-01 / 2024-06-01,2095
MX,Tampico,2024-06-01 / 2024-06-01,1322
MX,Victoria,2024-06-01 / 2024-06-01,792
MX,Celaya,2024-06-01 / 2024-06-01,601
MX,San Luis Potosi,2024-06-01 / 2024-06-01,2069
MX,Torreon,2024-06-01 / 2024-06-01,1825
MX,Durango,2024-06-01 / 2024-06-01,2517
MX,Jaurez CHIH,2024-06-01 / 2024-06-01,4070
MX,Salamanca,2024-06-01 / 2024-06-01,148
MX,Zacatecas,2024-06-01 / 2024-06-01,644
MX,San Juan del Río,2024-06-01 / 2024-06-01,445
MX,Delicias,2024-06-01 / 2024-06-01,486
MX,Irapuato,2024-06-01 / 2024-06-01,559
MX,Monterrey,2024-06-01 / 2024-06-01,8745
MX,Mexico City,2024-06-01 / 2024-06-01,19772
MX,Toluca,2024-06-01 / 2024-06-01,1882
CO,Ibagué,2024-06-01 / 2024-06-01,0
CO,Valledupar,2024-06-01 / 2024-06-01,0
CO,Santa marta,2024-06-01 / 2024-06-01,0
CO,Pereira,2024-06-01 / 2024-06-01,0
CO,Villavicencio,2024-06-01 / 2024-06-01,0
CO,Manizales,2024-06-01 / 2024-06-01,0
CO,Cali,2024-06-01 / 2024-06-01,3080
CO,Cartagena,2024-06-01 / 2024-06-01,100
CO,Bucaramanga,2024-06-01 / 2024-06-01,482
CO,Cúcuta,2024-06-01 / 2024-06-01,50
CO,Barranquilla,2024-06-01 / 2024-06-01,1714
CO,Medellín,2024-06-01 / 2024-06-01,5863
CO,"Bogotá, D.C.",2024-06-01 / 2024-06-01,6233
CR,Liberia,2024-06-01 / 2024-06-01,-
CR,Limon,2024-06-01 / 2024-06-01,-
CR,San Jose,2024-06-01 / 2024-06-01,2257
PE,Arequipa,2024-06-01 / 2024-06-01,-
PE,Trujillo,2024-06-01 / 2024-06-01,-
PE,Lima,2024-06-01 / 2024-06-01,2477
MX,Las Choapas,2024-05-01 / 2024-05-01,92
MX,Cordoba,2024-05-01 / 2024-05-01,536
MX,Carmen,2024-05-01 / 2024-05-01,193
MX,Uruapan,2024-05-01 / 2024-05-01,0
MX,Apizaco,2024-05-01 / 2024-05-01,-
MX,Chilpancingo de los Bravo,2024-05-01 / 2024-05-01,0
MX,Tulancingo,2024-05-01 / 2024-05-01,-
MX,Minatitlan,2024-05-01 / 2024-05-01,-
MX,Comitan de Dominguez,2024-05-01 / 2024-05-01,-
MX,Orizaba,2024-05-01 / 2024-05-01,0
MX,Zamora,2024-05-01 / 2024-05-01,-
MX,La Piedad,2024-05-01 / 2024-05-01,-
MX,Abejones,2024-05-01 / 2024-05-01,-
MX,Cancun,2024-05-01 / 2024-05-01,1650
MX,Tuxtla Gutierrez,2024-05-01 / 2024-05-01,1917
MX,Tehuacan,2024-05-01 / 2024-05-01,261
MX,Xalapa,2024-05-01 / 2024-05-01,310
MX,San Cristobal de las Casas,2024-05-01 / 2024-05-01,217
MX,Pachuca,2024-05-01 / 2024-05-01,482
MX,Veracruz,2024-05-01 / 2024-05-01,1141
MX,Morelia,2024-05-01 / 2024-05-01,2378
MX,Acapulco,2024-05-01 / 2024-05-01,265
MX,Campeche,2024-05-01 / 2024-05-01,511
MX,Coatzacoalcos,2024-05-01 / 2024-05-01,227
MX,Solidaridad,2024-05-01 / 2024-05-01,219
MX,Tapachula,2024-05-01 / 2024-05-01,206
MX,Chetumal,2024-05-01 / 2024-05-01,205
MX,Tlaxcala,2024-05-01 / 2024-05-01,434
MX,Puebla,2024-05-01 / 2024-05-01,3205
MX,Poza Rica de Hidalgo,2024-05-01 / 2024-05-01,155
MX,Villahermosa,2024-05-01 / 2024-05-01,1474
MX,Merida,2024-05-01 / 2024-05-01,1221
MX,Oaxaca,2024-05-01 / 2024-05-01,1364
MX,Cuernavaca,2024-05-01 / 2024-05-01,1794
MX,Navojoa,2024-05-01 / 2024-05-01,278
MX,Guaymas,2024-05-01 / 2024-05-01,0
MX,Ciudad Obregon,2024-05-01 / 2024-05-01,1068
MX,Tepic,2024-05-01 / 2024-05-01,1590
MX,Colima,2024-05-01 / 2024-05-01,1093
MX,Tijuana,2024-05-01 / 2024-05-01,3187
MX,Mazatlan,2024-05-01 / 2024-05-01,981
MX,Puerto Vallarta,2024-05-01 / 2024-05-01,736
MX,La Paz,2024-05-01 / 2024-05-01,1052
MX,Ensenada,2024-05-01 / 2024-05-01,2287
MX,Hermosillo,2024-05-01 / 2024-05-01,1646
MX,Guadalajara,2024-05-01 / 2024-05-01,13049
MX,Manzanillo,2024-05-01 / 2024-05-01,472
MX,Nogales(SON),2024-05-01 / 2024-05-01,0
MX,Los Mochis-Guasave,2024-05-01 / 2024-05-01,863
MX,Mexicali,2024-05-01 / 2024-05-01,4388
MX,Los Cabos,2024-05-01 / 2024-05-01,704
MX,Culiacan,2024-05-01 / 2024-05-01,2088
MX,San Miguel de Allende,2024-05-01 / 2024-05-01,0
MX,Guanajuato,2024-05-01 / 2024-05-01,-
MX,Valles City,2024-05-01 / 2024-05-01,-
MX,Piedras Negras,2024-05-01 / 2024-05-01,-
MX,Aguascalientes,2024-05-01 / 2024-05-01,1430
MX,Matamoros,2024-05-01 / 2024-05-01,1232
MX,Zacatecas,2024-05-01 / 2024-05-01,639
MX,Saltillo,2024-05-01 / 2024-05-01,887
MX,Leon,2024-05-01 / 2024-05-01,1814
MX,Monclova,2024-05-01 / 2024-05-01,0
MX,Jaurez CHIH,2024-05-01 / 2024-05-01,3866
MX,Victoria,2024-05-01 / 2024-05-01,859
MX,Celaya,2024-05-01 / 2024-05-01,608
MX,San Juan del Río,2024-05-01 / 2024-05-01,443
MX,San Luis Potosi,2024-05-01 / 2024-05-01,2140
MX,Delicias,2024-05-01 / 2024-05-01,466
MX,Irapuato,2024-05-01 / 2024-05-01,506
MX,Nuevo Laredo,2024-05-01 / 2024-05-01,598
MX,Chihuahua,2024-05-01 / 2024-05-01,1742
MX,Salamanca,2024-05-01 / 2024-05-01,137
MX,Queretaro,2024-05-01 / 2024-05-01,2259
MX,Durango,2024-05-01 / 2024-05-01,2477
MX,Torreon,2024-05-01 / 2024-05-01,1867
MX,Tampico,2024-05-01 / 2024-05-01,1380
MX,Reynosa,2024-05-01 / 2024-05-01,0
MX,Monterrey,2024-05-01 / 2024-05-01,9124
MX,Mexico City,2024-05-01 / 2024-05-01,19742
MX,Toluca,2024-05-01 / 2024-05-01,1857
CO,Santa marta,2024-05-01 / 2024-05-01,0
CO,Ibagué,2024-05-01 / 2024-05-01,0
CO,Valledupar,2024-05-01 / 2024-05-01,0
CO,Cali,2024-05-01 / 2024-05-01,2625
CO,Barranquilla,2024-05-01 / 2024-05-01,1562
CO,Cúcuta,2024-05-01 / 2024-05-01,50
CO,Cartagena,2024-05-01 / 2024-05-01,85
CO,Bucaramanga,2024-05-01 / 2024-05-01,448
CO,Pereira,2024-05-01 / 2024-05-01,0
CO,Villavicencio,2024-05-01 / 2024-05-01,0
CO,Manizales,2024-05-01 / 2024-05-01,0
CO,Medellín,2024-05-01 / 2024-05-01,5227
CO,"Bogotá, D.C.",2024-05-01 / 2024-05-01,5438
CR,Limon,2024-05-01 / 2024-05-01,-
CR,Liberia,2024-05-01 / 2024-05-01,-
CR,San Jose,2024-05-01 / 2024-05-01,2226
PE,Arequipa,2024-05-01 / 2024-05-01,-
PE,Trujillo,2024-05-01 / 2024-05-01,-
PE,Lima,2024-05-01 / 2024-05-01,2242
MX,Cordoba,2024-04-01 / 2024-04-01,469
MX,Las Choapas,2024-04-01 / 2024-04-01,80
MX,Carmen,2024-04-01 / 2024-04-01,181
MX,Tulancingo,2024-04-01 / 2024-04-01,-
MX,Chilpancingo de los Bravo,2024-04-01 / 2024-04-01,-
MX,Comitan de Dominguez,2024-04-01 / 2024-04-01,-
MX,Orizaba,2024-04-01 / 2024-04-01,0
MX,Minatitlan,2024-04-01 / 2024-04-01,-
MX,Zamora,2024-04-01 / 2024-04-01,-
MX,Uruapan,2024-04-01 / 2024-04-01,0
MX,Apizaco,2024-04-01 / 2024-04-01,-
MX,La Piedad,2024-04-01 / 2024-04-01,-
MX,Abejones,2024-04-01 / 2024-04-01,-
MX,Cancun,2024-04-01 / 2024-04-01,1586
MX,Acapulco,2024-04-01 / 2024-04-01,240
MX,Villahermosa,2024-04-01 / 2024-04-01,1435
MX,Tlaxcala,2024-04-01 / 2024-04-01,403
MX,San Cristobal de las Casas,2024-04-01 / 2024-04-01,206
MX,Campeche,2024-04-01 / 2024-04-01,483
MX,Xalapa,2024-04-01 / 2024-04-01,270
MX,Tuxtla Gutierrez,2024-04-01 / 2024-04-01,1836
MX,Coatzacoalcos,2024-04-01 / 2024-04-01,184
MX,Chetumal,2024-04-01 / 2024-04-01,188
MX,Merida,2024-04-01 / 2024-04-01,1242
MX,Oaxaca,2024-04-01 / 2024-04-01,1312
MX,Cuernavaca,2024-04-01 / 2024-04-01,1734
MX,Poza Rica de Hidalgo,2024-04-01 / 2024-04-01,159
MX,Tapachula,2024-04-01 / 2024-04-01,209
MX,Pachuca,2024-04-01 / 2024-04-01,451
MX,Veracruz,2024-04-01 / 2024-04-01,1098
MX,Morelia,2024-04-01 / 2024-04-01,2102
MX,Solidaridad,2024-04-01 / 2024-04-01,204
MX,Puebla,2024-04-01 / 2024-04-01,3105
MX,Tehuacan,2024-04-01 / 2024-04-01,240
MX,Navojoa,2024-04-01 / 2024-04-01,260
MX,Guaymas,2024-04-01 / 2024-04-01,0
MX,Manzanillo,2024-04-01 / 2024-04-01,434
MX,La Paz,2024-04-01 / 2024-04-01,972
MX,Tepic,2024-04-01 / 2024-04-01,1567
MX,Colima,2024-04-01 / 2024-04-01,1042
MX,Ensenada,2024-04-01 / 2024-04-01,2176
MX,Nogales(SON),2024-04-01 / 2024-04-01,0
MX,Hermosillo,2024-04-01 / 2024-04-01,1639
MX,Guadalajara,2024-04-01 / 2024-04-01,12154
MX,Tijuana,2024-04-01 / 2024-04-01,2986
MX,Mazatlan,2024-04-01 / 2024-04-01,979
MX,Mexicali,2024-04-01 / 2024-04-01,4107
MX,Ciudad Obregon,2024-04-01 / 2024-04-01,1020
MX,Puerto Vallarta,2024-04-01 / 2024-04-01,727
MX,Los Mochis-Guasave,2024-04-01 / 2024-04-01,854
MX,Los Cabos,2024-04-01 / 2024-04-01,715
MX,Culiacan,2024-04-01 / 2024-04-01,2015
MX,San Miguel de Allende,2024-04-01 / 2024-04-01,0
MX,Valles City,2024-04-01 / 2024-04-01,-
MX,Guanajuato,2024-04-01 / 2024-04-01,-
MX,Piedras Negras,2024-04-01 / 2024-04-01,-
MX,San Luis Potosi,2024-04-01 / 2024-04-01,2062
MX,Matamoros,2024-04-01 / 2024-04-01,1166
MX,Zacatecas,2024-04-01 / 2024-04-01,573
MX,Delicias,2024-04-01 / 2024-04-01,416
MX,Monclova,2024-04-01 / 2024-04-01,0
MX,Tampico,2024-04-01 / 2024-04-01,1295
MX,Irapuato,2024-04-01 / 2024-04-01,481
MX,Saltillo,2024-04-01 / 2024-04-01,829
MX,Queretaro,2024-04-01 / 2024-04-01,2286
MX,Leon,2024-04-01 / 2024-04-01,1798
MX,Victoria,2024-04-01 / 2024-04-01,817
MX,Jaurez CHIH,2024-04-01 / 2024-04-01,3594
MX,Aguascalientes,2024-04-01 / 2024-04-01,1518
MX,Nuevo Laredo,2024-04-01 / 2024-04-01,570
MX,San Juan del Río,2024-04-01 / 2024-04-01,420
MX,Celaya,2024-04-01 / 2024-04-01,606
MX,Durango,2024-04-01 / 2024-04-01,2369
MX,Salamanca,2024-04-01 / 2024-04-01,135
MX,Torreon,2024-04-01 / 2024-04-01,1893
MX,Chihuahua,2024-04-01 / 2024-04-01,1770
MX,Reynosa,2024-04-01 / 2024-04-01,0
MX,Monterrey,2024-04-01 / 2024-04-01,8475
MX,Mexico City,2024-04-01 / 2024-04-01,18662
MX,Toluca,2024-04-01 / 2024-04-01,1774
CO,Santa marta,2024-04-01 / 2024-04-01,0
CO,Valledupar,2024-04-01 / 2024-04-01,0
CO,Ibagué,2024-04-01 / 2024-04-01,0
CO,Barranquilla,2024-04-01 / 2024-04-01,1334
CO,Villavicencio,2024-04-01 / 2024-04-01,0
CO,Cali,2024-04-01 / 2024-04-01,2422
CO,Cartagena,2024-04-01 / 2024-04-01,76
CO,Bucaramanga,2024-04-01 / 2024-04-01,407
CO,Cúcuta,2024-04-01 / 2024-04-01,48
CO,Manizales,2024-04-01 / 2024-04-01,0
CO,Pereira,2024-04-01 / 2024-04-01,0
CO,Medellín,2024-04-01 / 2024-04-01,4505
CO,"Bogotá, D.C.",2024-04-01 / 2024-04-01,4752
CR,Liberia,2024-04-01 / 2024-04-01,-
CR,Limon,2024-04-01 / 2024-04-01,-
CR,San Jose,2024-04-01 / 2024-04-01,2231
PE,Arequipa,2024-04-01 / 2024-04-01,-
PE,Trujillo,2024-04-01 / 2024-04-01,-
PE,Lima,2024-04-01 / 2024-04-01,2068
MX,Las Choapas,2024-03-01 / 2024-03-01,85
MX,Carmen,2024-03-01 / 2024-03-01,151
MX,Uruapan,2024-03-01 / 2024-03-01,0
MX,Orizaba,2024-03-01 / 2024-03-01,0
MX,Cordoba,2024-03-01 / 2024-03-01,465
MX,La Piedad,2024-03-01 / 2024-03-01,-
MX,Tulancingo,2024-03-01 / 2024-03-01,-
MX,Abejones,2024-03-01 / 2024-03-01,-
MX,Comitan de Dominguez,2024-03-01 / 2024-03-01,-
MX,Zamora,2024-03-01 / 2024-03-01,-
MX,Apizaco,2024-03-01 / 2024-03-01,-
MX,Chilpancingo de los Bravo,2024-03-01 / 2024-03-01,-
MX,Minatitlan,2024-03-01 / 2024-03-01,-
MX,Pachuca,2024-03-01 / 2024-03-01,479
MX,Morelia,2024-03-01 / 2024-03-01,2097
MX,Coatzacoalcos,2024-03-01 / 2024-03-01,188
MX,Merida,2024-03-01 / 2024-03-01,1284
MX,Poza Rica de Hidalgo,2024-03-01 / 2024-03-01,170
MX,Puebla,2024-03-01 / 2024-03-01,2906
MX,Solidaridad,2024-03-01 / 2024-03-01,211
MX,Tapachula,2024-03-01 / 2024-03-01,193
MX,Tlaxcala,2024-03-01 / 2024-03-01,381
MX,Chetumal,2024-03-01 / 2024-03-01,175
MX,Tehuacan,2024-03-01 / 2024-03-01,245
MX,Cuernavaca,2024-03-01 / 2024-03-01,1741
MX,Cancun,2024-03-01 / 2024-03-01,1561
MX,Villahermosa,2024-03-01 / 2024-03-01,1407
MX,Xalapa,2024-03-01 / 2024-03-01,280
MX,Acapulco,2024-03-01 / 2024-03-01,195
MX,Veracruz,2024-03-01 / 2024-03-01,1123
MX,Campeche,2024-03-01 / 2024-03-01,435
MX,Oaxaca,2024-03-01 / 2024-03-01,1368
MX,San Cristobal de las Casas,2024-03-01 / 2024-03-01,196
MX,Tuxtla Gutierrez,2024-03-01 / 2024-03-01,1756
MX,Guaymas,2024-03-01 / 2024-03-01,0
MX,Navojoa,2024-03-01 / 2024-03-01,248
MX,Los Mochis-Guasave,2024-03-01 / 2024-03-01,841
MX,Ciudad Obregon,2024-03-01 / 2024-03-01,993
MX,Los Cabos,2024-03-01 / 2024-03-01,715
MX,Puerto Vallarta,2024-03-01 / 2024-03-01,697
MX,Colima,2024-03-01 / 2024-03-01,1038
MX,Hermosillo,2024-03-01 / 2024-03-01,1701
MX,Nogales(SON),2024-03-01 / 2024-03-01,0
MX,Tepic,2024-03-01 / 2024-03-01,1609
MX,Mexicali,2024-03-01 / 2024-03-01,3988
MX,La Paz,2024-03-01 / 2024-03-01,950
MX,Mazatlan,2024-03-01 / 2024-03-01,921
MX,Manzanillo,2024-03-01 / 2024-03-01,426
MX,Ensenada,2024-03-01 / 2024-03-01,2133
MX,Guadalajara,2024-03-01 / 2024-03-01,11503
MX,Tijuana,2024-03-01 / 2024-03-01,2921
MX,Culiacan,2024-03-01 / 2024-03-01,1899
MX,San Miguel de Allende,2024-03-01 / 2024-03-01,0
MX,Valles City,2024-03-01 / 2024-03-01,-
MX,Guanajuato,2024-03-01 / 2024-03-01,-
MX,Piedras Negras,2024-03-01 / 2024-03-01,-
MX,Torreon,2024-03-01 / 2024-03-01,1931
MX,Delicias,2024-03-01 / 2024-03-01,427
MX,Salamanca,2024-03-01 / 2024-03-01,131
MX,San Luis Potosi,2024-03-01 / 2024-03-01,2111
MX,San Juan del Río,2024-03-01 / 2024-03-01,410
MX,Tampico,2024-03-01 / 2024-03-01,1242
MX,Queretaro,2024-03-01 / 2024-03-01,2263
MX,Leon,2024-03-01 / 2024-03-01,1841
MX,Jaurez CHIH,2024-03-01 / 2024-03-01,3570
MX,Celaya,2024-03-01 / 2024-03-01,632
MX,Nuevo Laredo,2024-03-01 / 2024-03-01,550
MX,Irapuato,2024-03-01 / 2024-03-01,510
MX,Aguascalientes,2024-03-01 / 2024-03-01,1494
MX,Victoria,2024-03-01 / 2024-03-01,765
MX,Matamoros,2024-03-01 / 2024-03-01,1128
MX,Saltillo,2024-03-01 / 2024-03-01,906
MX,Monclova,2024-03-01 / 2024-03-01,0
MX,Zacatecas,2024-03-01 / 2024-03-01,598
MX,Durango,2024-03-01 / 2024-03-01,2415
MX,Chihuahua,2024-03-01 / 2024-03-01,1821
MX,Reynosa,2024-03-01 / 2024-03-01,0
MX,Monterrey,2024-03-01 / 2024-03-01,8181
MX,Mexico City,2024-03-01 / 2024-03-01,18571
MX,Toluca,2024-03-01 / 2024-03-01,1759
CO,Valledupar,2024-03-01 / 2024-03-01,0
CO,Ibagué,2024-03-01 / 2024-03-01,0
CO,Santa marta,2024-03-01 / 2024-03-01,0
CO,Cúcuta,2024-03-01 / 2024-03-01,56
CO,Cartagena,2024-03-01 / 2024-03-01,82
CO,Villavicencio,2024-03-01 / 2024-03-01,0
CO,Barranquilla,2024-03-01 / 2024-03-01,1397
CO,Manizales,2024-03-01 / 2024-03-01,0
CO,Cali,2024-03-01 / 2024-03-01,2431
CO,Pereira,2024-03-01 / 2024-03-01,0
CO,Bucaramanga,2024-03-01 / 2024-03-01,445
CO,Medellín,2024-03-01 / 2024-03-01,4364
CO,"Bogotá, D.C.",2024-03-01 / 2024-03-01,4642
CR,Liberia,2024-03-01 / 2024-03-01,-
CR,Limon,2024-03-01 / 2024-03-01,-
CR,San Jose,2024-03-01 / 2024-03-01,2219
PE,Arequipa,2024-03-01 / 2024-03-01,-
PE,Trujillo,2024-03-01 / 2024-03-01,-
PE,Lima,2024-03-01 / 2024-03-01,2211
