Gabriel Renowitzky OKR's
Metric,MX - Baseline,MX - Target,CO  - Baseline,CO  - Target,PE  - Baseline,PE  - Target,CR  - Baseline,CR  - Target
SME,-,-,-,-,-,-,-,-
SME B cancel % orders,2.42%,1.94%,2.91%,2.16%,2.63%,2.43%,2.96%,2.39%
SME imperfect orders,1.91%,1.72%,2.82%,2.44%,2.32%,2.05%,2.53%,1.54%
SME Meal Loss % GMV,0.50%,0.42%,1.19%,0.86%,1.02%,0.86%,0.75%,0.62%
SME B App orders on time rate,13.80%,13.0%,16.4%,12.8%,15.3%,16.7%,14.8%,14.9%
CKA,-,-,-,-,-,-,-,-
CKAs B cancellation rate,1.26%,0.99%,1.33%,1.06%,1.76%,1.51%,1.78%,1.76%
CKAs imperfect orders,1.87%,1.78%,2.29%,1.79%,2.76%,2.41%,2.29%,1.18%
CKA Meal Loss % GMV,0.75%,0.74%,1.17%,0.94%,1.46%,1.06%,1.03%,0.66%
CKA B App orders on time rate,16.7%,15.7%,18.2%,14.7%,19.2%,20.1%,22.8%,16.6%
