country_code,city_name,region
MX,Uruapan,Sur
MX,Solidaridad,Sur
MX,Tehuacan,Sur
MX,Culiacan,Pacifico
MX,Abejones,Sur
MX,San Luis Potosi,Norte
MX,San Miguel de Allende,Norte
MX,Morelia,Sur
MX,Zacatecas,Norte
MX,Nuevo Laredo,Norte
MX,Tlaxcala,Sur
MX,Mexicali,Pacifico
MX,Ensenada,Pacifico
MX,La Piedad,Sur
MX,Chetumal,Sur
MX,Puerto Vallarta,Pacifico
MX,Navojoa,Pacifico
MX,Manzanillo,Pacifico
MX,Celaya,Norte
MX,Los Cabos,Pacifico
MX,Minatitlan,Sur
MX,Acapulco,Sur
MX,Valles City,Norte
MX,Tuxtla Gutierrez,Sur
MX,Campeche,Sur
MX,Guadalajara,Pacifico
MX,Tapachula,Sur
MX,Tepic,Pacifico
MX,Monterrey,Norte
MX,Tijuana,Pacifico
MX,Salamanca,Norte
MX,Reynosa,Norte
MX,Juarez CHIH,Norte
MX,Jaurez CHIH,Norte
MX,Xalapa,Sur
MX,Guaymas,Pacifico
MX,Matamoros,Norte
MX,Torreon,Norte
MX,Piedras Negras,Norte
MX,La Paz,Pacifico
MX,Delicias,Norte
MX,Poza Rica de Hidalgo,Sur
MX,Toluca,CDMX
MX,San Juan del Rio,Norte
MX,Merida,Sur
MX,Nogales(SON),Pacifico
MX,Saltillo,Norte
MX,Ciudad Obregon,Pacifico
MX,Coatzacoalcos,Sur
MX,Cuernavaca,Sur
MX,Chihuahua,Norte
MX,Mexico City,CDMX
MX,Queretaro,Norte
MX,Cordoba,Sur
MX,Aguascalientes,Norte
MX,Leon,Norte
MX,Cancun,Sur
MX,Carmen,Sur
MX,Victoria,Norte
MX,Hermosillo,Pacifico
MX,Las Choapas,Sur
MX,Villahermosa,Sur
MX,Orizaba,Sur
MX,Puebla,Sur
MX,Los Mochis-Guasave,Pacifico
MX,Irapuato,Norte
MX,Guanajuato,Norte
MX,Durango,Norte
MX,Monclova,Norte
MX,Pachuca,Sur
MX,Veracruz,Sur
MX,San Cristobal de las Casas,Sur
MX,Chilpancingo de los Bravo,Sur
MX,Mazatlan,Pacifico
MX,Colima,Pacifico
MX,Zamora,Sur
MX,Oaxaca,Sur
MX,Tulancingo,Sur
MX,Tampico,Norte
MX,Apizaco,Sur
MX,Comitan de Dominguez,Sur
