country_code,shop_id,city_name,first_online_date,days_in_data,eff_online_days,asp,online_rate,is_healthy_store,b_cancel_rate,activity_days,recurrency_rate,commission_per_order,ted_per_order,photo_rate,b_p1p2
CO,5764607523076967988,Medell¨ªn,2024-06-05,1,1,13600,0.9733625365039633,1,0.0,null,0.25,3400,5900,0.7777777777777778,0.001002004008016032
CO,5764607523550923270,Medell¨ªn,2024-06-05,1,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607526554045938,Cali,2024-04-24,14,14,35736.538461538461538462,0.9050046296296297,14,0.13333333333333333,null,0.38461538461538464,8854.692307692307692308,11607.692307692307692308,0.8793103448275862,0.003169237270230298
CO,5764607532052777954,Bogot¨¢_ D.C.,2024-05-15,14,10,17336,0.4956691221608348,4,0.0,null,0.0,2875,0,1.0,0.0011049723756906078
CO,5764607532828725162,Medell¨ªn,2024-05-03,14,14,48968.296296296296296296,0.9203357753357753,14,0.0,null,0.208955223880597,11545.37037037037037037,3571.111111111111111111,0.8690568978955573,0.005416483677353243
CO,5764607534837795804,Bogot¨¢_ D.C.,2024-05-21,14,14,24150.234177215189873418,0.9449843979442001,14,0.020289855072463767,null,0.24584717607973422,6108.90189873417721519,34475.208860759493670886,0.9753521126760564,0.014832813519982592
CO,5764607534858768356,Bogot¨¢_ D.C.,2024-05-21,14,14,19781,0.9330073696145126,14,0.3333333333333333,null,0.0,4900,5200,1.0,8.377548170901983E-4
CO,5764607538914659926,Cali,2024-04-30,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607540047120495,Bogot¨¢_ D.C.,2024-05-22,14,10,13300,0.4128836805555555,3,0.25,null,0.0,2533.666666666666666667,3066.666666666666666667,1.0,0.0031821797931583136
CO,5764607540894368770,Bogot¨¢_ D.C.,2024-06-01,5,5,23258.5,0.9723839332290036,5,0.0,null,0.5,7629,30171.666666666666666667,1.0,0.0031397174254317113
CO,5764607541678706673,Medell¨ªn,2024-05-17,14,10,29025.5,0.6320335023362164,9,0.0,null,0.6666666666666666,4900,2000,0.7419354838709677,0.001759014951627089
CO,5764607545944313339,Medell¨ªn,2024-05-14,14,1,0,0.06421104536489151,1,0.0,null,0.0,0,0,1.0,0.0
CO,5764607548213431881,Bogot¨¢_ D.C.,2024-04-26,14,9,0,0.3589161220043573,1,0.0,null,0.0,0,0,0.7058823529411765,0.0
CO,5764607556375544832,Bogot¨¢_ D.C.,2024-05-15,14,2,0,0.09515277777777778,2,0.0,null,0.0,0,0,1.0,0.0
CO,5764607561379351775,Bogot¨¢_ D.C.,2024-05-18,14,14,26238.285714285714285714,0.9825496031746032,14,0.0,null,0.47619047619047616,6242.190476190476190476,12653.142857142857142857,0.9735449735449735,0.0079750346740638
CO,5764607566639007939,Bogot¨¢_ D.C.,2024-05-20,14,13,27242.833333333333333333,0.7087026143790849,11,0.0,null,0.0,6731.666666666666666667,11493.333333333333333333,1.0,0.0037313432835820895
CO,5764607567675001828,Cali,2024-05-09,14,9,24473,0.7919323671497583,8,0.0,null,0.1111111111111111,4875,10500,0.8409090909090909,9.407337723424271E-4
CO,5764607569600186589,Medell¨ªn,2024-05-03,14,14,28390.3125,0.7911583333333333,13,0.05555555555555555,null,0.06666666666666667,7403.5,12656.25,1.0,0.004398148148148148
CO,5764607578911540217,Bogot¨¢_ D.C.,2024-06-01,5,4,21047.333333333333333333,0.6463201320132014,3,0.0,null,0.0,5474.333333333333333333,7053.333333333333333333,1.0,0.003902439024390244
CO,5764607585538543544,Cali,2024-05-09,14,12,33247.833333333333333333,0.8566069574247144,11,0.0,null,0.0,7944.666666666666666667,12379.166666666666666667,0.8666666666666667,0.0034209085933223863
CO,5764607585572097644,Bogot¨¢_ D.C.,2024-05-16,14,12,23619.294117647058823529,0.8668042813455659,12,0.0,null,0.125,5745,11549.588235294117647059,0.96875,0.004275165176836378
CO,5764607586641645332,Medell¨ªn,2024-05-02,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607586683587885,Bogot¨¢_ D.C.,2024-06-04,2,2,26223.5,0.8726470588235293,2,0.0,null,0.0,6333.166666666666666667,8545.833333333333333333,1.0,0.008174386920980926
CO,5764607591192463440,Barranquilla,2024-05-02,14,13,19891.226415094339622642,0.8652154195011338,13,0.0,null,0.3141025641025641,4229.292452830188679245,7346.283018867924528302,0.9045936395759717,0.013507052354769305
CO,5764607595562929553,Cali,2024-04-23,14,12,26978.257575757575757576,0.8476348039215686,10,0.0,null,0.5172413793103449,5554.19696969696969697,23601.666666666666666667,0.93,0.008354522339266255
CO,5764607597609749447,Bogot¨¢_ D.C.,2024-05-09,14,9,45159.555555555555555556,0.8896070460704608,9,0.0,null,0.10714285714285714,11133.444444444444444444,55564.444444444444444444,0.9713114754098361,0.005422993492407809
CO,5764607599530740709,Cali,2024-05-20,14,13,42274.333333333333333333,0.7527532154340837,8,0.0,null,0.0625,9979.222222222222222222,12900,0.88,0.0017391304347826088
CO,5764607602735189585,Bogot¨¢_ D.C.,2024-05-10,14,5,0,0.12891641641641644,0,1.0,null,0.2,0,0,1.0,0.0030257186081694403
CO,5764607604266109870,Medell¨ªn,2024-04-24,14,14,30711.111111111111111111,0.9287202380952382,13,0.09090909090909091,null,0.0,9103.333333333333333333,17871.666666666666666667,1.0,0.0038022813688212928
CO,5764607606514255781,Barranquilla,2024-05-02,14,14,22760.933823529411764706,0.9872739779874213,14,0.0,null,0.4661016949152542,4768.136029411764705882,5719.220588235294117647,0.7822014051522248,0.023148921945512286
CO,5764607608703684080,Bogot¨¢_ D.C.,2024-05-03,14,14,28636.777777777777777778,0.5700679925208226,9,0.3333333333333333,null,0.0,7425.555555555555555556,16114.666666666666666667,1.0,0.0078125
CO,5764607613661348925,Cali,2024-04-24,14,12,35268.888888888888888889,0.5568163780663782,9,0.09090909090909091,null,0.0,8213.111111111111111111,14762.222222222222222222,0.9317073170731708,0.002882536632236368
CO,5764607615129357059,Barranquilla,2024-05-15,14,14,25880.272727272727272727,0.7759920634920635,11,0.08333333333333333,null,0.0,5809.272727272727272727,3304.454545454545454545,1.0,0.0018323408153916628
CO,5764607615800446472,Bogot¨¢_ D.C.,2024-05-03,14,14,36016.136363636363636364,0.8310874246339363,12,0.041666666666666664,null,0.36363636363636365,8819.454545454545454545,11855.318181818181818182,1.0,0.005307205552153501
CO,5764607617381696505,Bogot¨¢_ D.C.,2024-05-03,14,14,23978.652173913043478261,0.8731805555555556,13,0.0,null,0.02857142857142857,6821.043478260869565217,17069.565217391304347826,1.0,0.0046414852752880926
CO,5764607617885014459,Bogot¨¢_ D.C.,2024-05-02,14,6,0,0.3216203703703704,4,0.0,null,0.0,0,0,0.8823529411764706,0.0
CO,5764607618342194091,Barranquilla,2024-05-07,14,9,14325,0.896820987654321,9,0.0,null,0.3333333333333333,3300.5,6325,0.918918918918919,5.88235294117647E-4
CO,5764607622700075887,Medell¨ªn,2024-05-06,14,14,29418.909090909090909091,0.8630000000000001,11,0.0,null,0.23529411764705882,6750,3054.545454545454545455,0.7916666666666666,0.0028922631959508315
CO,5764607627963925360,Medell¨ªn,2024-05-22,14,14,43639.75,0.9083919123204839,14,0.0,null,0.2222222222222222,9558.25,17099.5,0.8709677419354839,0.006012024048096192
CO,5764607629452904510,Cali,2024-05-27,10,8,44549,0.7601131687242798,8,0.0,null,0.5,12125,9400,0.8333333333333334,0.0016038492381716118
CO,5764607634293130920,Medell¨ªn,2024-04-23,14,11,23308.333333333333333333,0.46373946360153256,4,0.0,null,0.75,8550,10955.833333333333333333,1.0,0.004038772213247173
CO,5764607639485681578,Cali,2024-05-03,14,7,24997.916666666666666667,0.4136396011396011,7,0.07692307692307693,null,0.3620689655172414,6605,16547.916666666666666667,0.8148148148148148,0.004186795491143317
CO,5764607643273138002,Bogot¨¢_ D.C.,2024-05-03,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607644724364317,Cali,2024-04-23,14,14,24386.546875,0.9509345238095238,14,0.0,null,0.23728813559322035,6763.1484375,15913.1796875,0.9654747225647349,0.007566773956745158
CO,5764607649401015590,Bogot¨¢_ D.C.,2024-05-10,14,13,27392.407766990291262136,0.956484184914842,13,0.0,null,0.21052631578947367,6917.873786407766990291,10964.184466019417475728,1.0,0.012452438602559669
CO,5764607651934374362,Bogot¨¢_ D.C.,2024-05-06,14,14,23934.565217391304347826,0.9148575036075036,14,0.0,null,0.4146341463414634,5743.115942028985507246,14538.072463768115942029,1.0,0.013382188943762944
CO,5764607656179010478,Bogot¨¢_ D.C.,2024-05-02,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607661287673346,Bogot¨¢_ D.C.,2024-05-06,14,14,29711.515151515151515152,0.9475748792270533,14,0.027777777777777776,null,0.2,7843.984848484848484848,16415.530303030303030303,1.0,0.01092527650391152
CO,5764607662495630329,Bogot¨¢_ D.C.,2024-05-09,14,14,22501,0.9156380528555257,13,0.0,null,0.34210526315789475,5629.021739130434782609,10144.043478260869565217,1.0,0.0035333141044130373
CO,5764607664164966387,Cali,2024-05-15,14,11,26250,0.5696623563218391,9,0.0,null,0.0,6563,5444,1.0,4.1339396444811904E-4
CO,5764607669944715911,Bogot¨¢_ D.C.,2024-06-05,1,1,29133.666666666666666667,0.5159356725146198,0,0.0,null,0.0,6833.333333333333333333,7833.333333333333333333,0.9361702127659575,0.0078125
CO,5764607673425986610,Cali,2024-04-26,14,6,0,0.6527999999999999,4,0.0,null,0.0,0,0,0.9130434782608695,0.0
CO,5764607675103711160,Medell¨ªn,2024-05-28,9,7,25300,0.8285138888888888,7,0.0,null,0.0,5000,0,1.0,8.35421888053467E-4
CO,5764607675414086717,Bogot¨¢_ D.C.,2024-05-10,14,6,24528,0.3037410306588389,5,0.4,null,0.0,4500,9050,1.0,0.002751031636863824
CO,5764607679843274696,Cali,2024-05-14,14,5,0,0.17918045112781952,1,0.0,null,0.0,0,0,1.0,3.5137034434293746E-4
CO,5764607682330496593,Bogot¨¢_ D.C.,2024-04-26,14,1,0,0.022145191409897295,0,0.0,null,0.0,0,0,0.6929824561403509,0.0
CO,5764607685237148242,Bogot¨¢_ D.C.,2024-05-04,14,6,36788,0.3764568258562469,6,0.0,null,0.0,8539.333333333333333333,13563,1.0,0.0021037868162692847
CO,5764607693923553036,Barranquilla,2024-04-27,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607695248953283,Bogot¨¢_ D.C.,2024-05-02,14,14,46455.8,0.6482163539495017,12,0.0,null,0.0,11320.2,12570,1.0,0.0021013921723141583
CO,5764607696519826970,Barranquilla,2024-05-01,14,0,0,0.009810874704491726,0,0.0,null,0.0,0,0,0.8095238095238095,0.0
CO,5764607698872830371,Medell¨ªn,2024-05-03,14,14,15788.444444444444444444,0.7768531705662935,12,0.0,null,0.06896551724137931,3925.111111111111111111,10748.666666666666666667,0.90625,0.0019853087155052612
CO,5764607706959449295,Bogot¨¢_ D.C.,2024-05-01,14,14,23323.6875,0.9109206899617677,11,0.014705882352941176,null,0.0,5800.046875,17749.125,0.9852507374631269,0.00962438176714343
CO,5764607707869612279,Medell¨ªn,2024-05-02,14,0,0,0.0,0,0.0,null,0.0,0,0,0.8620689655172413,0.0
CO,5764607707999636904,Medell¨ªn,2024-05-06,14,8,26400,0.3031266149870801,3,0.0,null,0.16666666666666666,6000,3805,0.8695652173913043,0.001558846453624318
CO,5764607715943647583,Barranquilla,2024-05-07,14,13,23260.9,0.8028296080336897,11,0.0,null,0.5,4736.3,8150.7,0.7382875605815832,0.0022367790381850137
CO,5764607719991151514,Barranquilla,2024-05-01,14,13,19299.038461538461538462,0.7080515414258188,11,0.03636363636363636,null,0.34782608695652173,4548.461538461538461538,9823.076923076923076923,0.8895522388059701,0.011545472959287017
CO,5764607723359177138,Cali,2024-05-27,10,10,21350,0.6722635933806147,6,0.0,null,0.0,5337.5,13224.5,0.9913793103448276,0.0014035087719298245
CO,5764607728698526690,Cali,2024-04-23,14,0,0,0.0,0,0.0,null,0.0,0,0,0.9607843137254902,0.0
CO,5764607729663214600,Bogot¨¢_ D.C.,2024-06-04,2,1,0,0.4140138888888889,1,0.0,null,0.0,0,0,1.0,0.0
CO,5764607729759685252,Cartagena,2024-06-01,5,5,27671,0.841002386634845,5,0.0,null,0.0,7688,17373.5,0.9387755102040817,0.00966183574879227
CO,5764607732142051300,Medell¨ªn,2024-05-01,14,14,35366.746835443037974684,0.9303789682539683,14,0.0,null,0.5,8810.354430379746835443,9690.721518987341772152,0.9675925925925926,0.005287674682110034
CO,5764607733274511452,Bogot¨¢_ D.C.,2024-05-02,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607735048703476,Medell¨ªn,2024-05-27,10,10,0,0.8131944444444443,7,0.0,null,0.0,0,0,1.0,0.0
CO,5764607736009198928,Bogot¨¢_ D.C.,2024-05-09,14,14,21083.380952380952380952,0.9148224728487887,13,0.14285714285714285,null,0.15,5953.428571428571428571,12152.47619047619047619,0.96,0.00424435349401243
CO,5764607738903268846,Medell¨ªn,2024-05-15,14,13,25247.5,0.6577684875510963,10,0.125,null,0.25,7706.666666666666666667,16191.166666666666666667,1.0,0.0011384659171766046
CO,5764607739385613507,Bogot¨¢_ D.C.,2024-05-21,14,14,10200,0.8804920634920634,13,0.6666666666666666,null,0.0,1950,3000,0.752442996742671,0.0014970059880239522
CO,5764607743605083003,Medell¨ªn,2024-05-20,14,12,33966.055555555555555556,0.8602922453703705,12,0.0,null,0.36363636363636365,7838.37037037037037037,7701.537037037037037037,1.0,0.01169466298107591
CO,5764607745454769151,Bogot¨¢_ D.C.,2024-06-01,5,5,0,0.9621260683760683,5,0.0,null,0.0,0,0,1.0,0.0
CO,5764607749049290352,Barranquilla,2024-05-01,14,7,41360,0.5308678756476685,6,0.0,null,0.2,10807.8,17680,1.0,0.003518648838845883
CO,5764607750420825122,Cali,2024-04-24,14,12,26200,0.7335930735930736,10,0.0,null,0.14285714285714285,5322,12662.5,0.9580838323353293,0.0011746280344557558
CO,5764607753784658673,Bogot¨¢_ D.C.,2024-05-10,14,12,32716.8,0.9986083608360835,12,0.0,null,0.0,7962.2,6964,0.8913043478260869,0.003756574004507889
CO,5764607755034562469,Bogot¨¢_ D.C.,2024-06-01,5,5,39575.75,0.9075252525252524,5,0.0,null,0.0,10470.5,16673.25,0.9528301886792453,0.0057306590257879654
CO,5764607757437897624,Medell¨ªn,2024-05-17,14,12,18614.285714285714285714,0.9355511638120333,12,0.0,null,0.15384615384615385,6496.428571428571428571,18000,1.0,0.002831858407079646
CO,5764607760352937034,Bogot¨¢_ D.C.,2024-05-02,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607760625569387,Bogot¨¢_ D.C.,2024-06-05,1,0,0,0.0,0,0.0,null,0.3333333333333333,0,0,1.0,0.0
CO,5764607762739498170,Barranquilla,2024-05-09,14,9,0,0.48037425149700597,5,0.0,null,0.0,0,0,0.9066666666666666,0.0
CO,5764607762961796335,Cali,2024-05-06,14,13,45796.583333333333333333,0.7797189617329899,11,0.0,null,0.19230769230769232,11713.75,17327.416666666666666667,1.0,0.002929483155471856
CO,5764607763691603887,Barranquilla,2024-05-17,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607765444824393,Medell¨ªn,2024-05-09,14,14,41386.4375,0.7806870039682539,12,0.0,null,0.2857142857142857,10212.5,6274.4375,1.0,0.004757906521130702
CO,5764607770012421387,Barranquilla,2024-06-04,2,2,18584.947368421052631579,0.9116358024691357,2,0.0,null,0.5,4512.473684210526315789,12502.105263157894736842,1.0,0.008171206225680934
CO,5764607771572702823,Bogot¨¢_ D.C.,2024-05-02,14,12,24257.353535353535353535,0.6317857142857143,0,0.0297029702970297,null,0.21052631578947367,4778.353535353535353535,18854.373737373737373737,1.0,0.011783960720130934
CO,5764607772390590610,Cali,2024-05-09,14,13,22648.9375,0.7872619047619047,11,0.058823529411764705,null,0.2727272727272727,5517.9375,9592.15625,1.0,0.009668508287292817
CO,5764607776157076964,Cali,2024-05-09,14,0,0,0.0,0,0.0,null,0.0,0,0,0.8125,0.0
CO,5764607777557974631,Cali,2024-04-22,14,4,0,0.16133267195767195,2,0.0,null,0.0,0,0,1.0,0.0
CO,5764607777570557247,Bogot¨¢_ D.C.,2024-06-05,1,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607779244083388,Bucaramanga,2024-05-24,13,0,0,0.0,0,0.0,null,0.0,0,0,0.7313432835820896,0.0
CO,5764607779709651367,Bogot¨¢_ D.C.,2024-05-06,14,11,0,0.6459942599425994,8,0.0,null,0.0,0,0,1.0,0.0
CO,5764607781102160345,Bogot¨¢_ D.C.,2024-06-01,5,5,0,0.9269391025641026,5,0.0,null,0.0,0,0,1.0,0.0
CO,5764607782746327415,Medell¨ªn,2024-05-25,12,10,0,0.7540415415415416,9,0.0,null,0.0,0,0,1.0,0.0
CO,5764607783195119081,Bogot¨¢_ D.C.,2024-05-06,14,14,41671.865671641791044776,0.920542328042328,14,0.04225352112676056,null,0.5,10668.895522388059701493,16654.373134328358208955,1.0,0.009336728507336
CO,5764607783857818961,Bogot¨¢_ D.C.,2024-04-22,14,14,26723.576923076923076923,0.8678464912280703,13,0.03389830508474576,null,0.6666666666666666,5792.230769230769230769,11175.153846153846153846,1.0,0.011589078766450598
CO,5764607783950093427,Bogot¨¢_ D.C.,2024-05-06,14,10,0,0.43327294685990336,6,1.0,null,0.0,0,0,0.8450704225352113,0.0013043478260869566
CO,5764607785606841348,Bogot¨¢_ D.C.,2024-05-02,14,9,0,0.7056784188034187,9,0.0,null,0.0,0,0,1.0,0.0
CO,5764607785816559080,Barranquilla,2024-05-21,14,14,22263.28,0.9759150085973961,11,0.0,null,0.5,5611.56,5877.56,0.9775280898876404,0.009388412017167383
CO,5764607793475357506,Bogot¨¢_ D.C.,2024-05-09,14,14,27196.428571428571428571,0.9237787787787789,14,0.0,null,0.125,7479.5,12142.857142857142857143,0.9266862170087976,0.004737839545167404
CO,5764607796323289511,Bogot¨¢_ D.C.,2024-05-15,14,7,0,0.4571977124183007,5,0.0,null,0.0,0,0,0.9142857142857143,0.001288659793814433
CO,5764607796935658810,Bogot¨¢_ D.C.,2024-05-03,14,14,29702.419354838709677419,0.9638009049773756,14,0.0,null,0.2037037037037037,7652.419354838709677419,15099.032258064516129032,0.88,0.010490693739424704
CO,5764607798831481378,Medell¨ªn,2024-05-20,14,14,44464.5,0.8719616519174042,14,0.09090909090909091,null,0.4117647058823529,10821.4,9797.4,0.9370314842578711,0.0039603960396039604
CO,5764607800467259800,Bogot¨¢_ D.C.,2024-05-07,14,14,31947.363636363636363636,0.9519642857142857,14,0.0,null,0.1,6475.772727272727272727,15679.318181818181818182,0.9579579579579579,0.0077763070814030446
CO,5764607802597966457,Bogot¨¢_ D.C.,2024-05-10,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607803877229482,Bogot¨¢_ D.C.,2024-06-01,5,5,21987.277777777777777778,0.8996557120500782,5,0.0,null,0.7222222222222222,6047.916666666666666667,18641.777777777777777778,1.0,0.02132936507936508
CO,5764607804388934236,Medell¨ªn,2024-05-07,14,8,33590.6,0.4430467372134039,6,0.0,null,0.0,7925,3931.2,0.9722222222222222,0.0035714285714285713
CO,5764607804825141748,Bogot¨¢_ D.C.,2024-05-28,9,9,21459.661016949152542373,0.9529713247696899,9,0.028985507246376812,null,0.125,5517.711864406779661017,10974.37288135593220339,1.0,0.007294164668265388
CO,5764607806725161343,Cali,2024-04-25,14,14,18587.025316455696202532,0.7139358314964486,10,0.03468208092485549,null,0.2727272727272727,4999.645569620253164557,24542.189873417721518987,1.0,0.016626627892274624
CO,5764607808012812823,Bogot¨¢_ D.C.,2024-05-02,14,14,0,0.7605238627889634,12,1.0,null,0.0,0,0,0.6385542168674698,4.8146364949446316E-4
CO,5764607808595820713,Barranquilla,2024-05-16,14,9,21582.5,0.2509396896896897,2,0.0,null,0.0,4500,0,1.0,0.003131524008350731
CO,5764607809807974664,Medell¨ªn,2024-05-14,14,13,46038.22,0.8246922657952069,13,0.018518518518518517,null,0.2926829268292683,9295.86,4939.48,0.9,0.011307280301527474
CO,5764607810533589143,Cartagena,2024-05-01,14,14,19096.926315789473684211,0.8852363782051283,13,0.0,null,0.5,5174.831578947368421053,9362.578947368421052632,1.0,0.01171405686824189
CO,5764607811791881133,Bogot¨¢_ D.C.,2024-06-04,2,2,15750,0.9071969696969696,2,0.3333333333333333,null,0.0,4331.5,11950,0.972972972972973,0.0033632286995515697
CO,5764607812253254239,Bogot¨¢_ D.C.,2024-05-08,14,12,21775,0.8899953314659198,11,0.5,null,0.0,6375,11076,1.0,0.0010515247108307045
CO,5764607812802708089,Bogot¨¢_ D.C.,2024-05-10,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607817336750699,Medell¨ªn,2024-05-11,14,7,28781.25,0.3630941358024692,4,0.3333333333333333,null,0.0,8156.25,10756.75,1.0,0.002569593147751606
CO,5764607819559732125,Cali,2024-06-05,1,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607820469896103,Medell¨ªn,2024-06-05,1,1,33150,0.9990660919540231,1,0.0,null,0.5,8288,12074,0.7567567567567568,0.0023752969121140144
CO,5764607821484916847,Bogot¨¢_ D.C.,2024-04-23,14,0,0,0.0,0,0.0,null,0.0,0,0,0.7894736842105263,0.0
CO,5764607823682732295,Bogot¨¢_ D.C.,2024-04-23,14,0,0,0.0,0,0.0,null,0.0,0,0,1.0,0.0
CO,5764607824584507824,Bogot¨¢_ D.C.,2024-05-02,14,14,21419.166666666666666667,0.9084613997113998,14,0.03125,null,0.0,6326.233333333333333333,18652.466666666666666667,0.987012987012987,0.006848799578535411
