Breakdown of Team Goals,,,,,,,,,,,Responsible Person,,Data,
Objective and Key Results,,Mexico,,Colombia,,Peru,,Costa Rica,,Weight,Owner,Support,Definition,Data Parameter
,,"Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')",,,,,
Farming BDMs CKA,[0],,,,,,,,,100.0%,,,,
Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
OKR 1.1,Daily Orders CKA,[1], [2], [3], [4], [5], [6], [7], [8],30.0%,,,Daily Orders,Avg full year
Objective 2: Selection,,,,,,,,,,20.0%,,,,
KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
a),Daily Orders of CKA Rs acquired in 2024,[9], [10], [11], [12], [13], [14], [15], [16],5.0%,,,Orders contributed for Rs with less than 60 days in the platform,Q4
KR 2.2,CKA # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
a),CKA # of R1s  (5+ Daily Orders),[17], [18], [19], [20], [21], [22], [23], [24],15.0%,,,#of R1s(5+ Daily Orders),Q4
Objective 3: Affordability,,,,,,,,,,25.0%,,,,
KR 3.3,Promotional Coverage,[25], [26], [27], [28], [29], [30], [31], [32],12.5%,,,Promotional coverage (Nominal # of Rs accepted),TBD
KR 3.4,Promotion quality,[33], [34], [35], [36], [37], [38], [39], [40],12.5%,,,% of top 3 items with promotion (Offer) Co-Subs (2 weeks of the month),TBD
Objective 4: Experience,,,,,,,,,,10.0%,,,,
KR 4.1,B cancellation rate,-,-,-,-,-,-,-,-,,,,,
a),CKAs B cancellation rate,[41],[42],[43],[44],[45],[46],[47],[48],5.0%,,,CKA B-duty cancellations over total orders,Avg full year
KR 4.2,Imperfect orders,-,-,-,-,-,-,-,-,,,,,
a),CKAs imperfect orders,[49],[50],[51],[52],[53],[54],[55],[56],5.0%,,,CKA Wrong food / Missing item over total orders,Avg full year
