country_code,city_id,city_name,area_maintainer
MX,52140500,Guadalajara,jsandovalruvalcaba
MX,52190500,Monterrey,brendatorrestorres
MX,52030300,Los Cabos,jpadillapalacios
MX,52190500,Monterrey,abelherreraperez
MX,52050300,Piedras Negras,
MX,52140500,Guadalajara,edwinamadorpulido
MX,52090100,Mexico City,rubenestradagomez
MX,52190500,Monterrey,edwintorresgarcia
MX,52110600,Salamanca,
MX,52260200,Hermosillo,ggarciasalazar
MX,52140500,Guadalajara,melinasalazarrosales
MX,52140500,Guadalajara,hugolozanomartinez
MX,52170200,Cuernavaca,
MX,52090100,Mexico City,mmoralescortes
MX,52070800,San Cristobal de las Casas,galcazaravendano
MX,52050500,Saltillo,alfredoortegasalazar
MX,52300600,Poza Rica de Hidalgo,
MX,52260100,Ciudad Obregon,
MX,52020100,Mexicali,jesuscortes
MX,52320100,Zacatecas,
MX,52140900,Puerto Vallarta,aarellanoavila1
MX,52310300,Merida,efrainriveravidal
MX,52220400,Queretaro,
MX,52170200,Cuernavaca,anagomezibarra
MX,52260200,Hermosillo,
MX,52080800,Jaurez CHIH,josueserranomedrano
MX,52090100,Mexico City,juanreyeslopez
MX,52050400,Torreon,ederlyfloresmontes
MX,52260300,Navojoa,
MX,52301000,Xalapa,ifernandezhernandez
MX,52260900,Guaymas,
MX,52250400,Los Mochis-Guasave,
MX,52090100,Mexico City,asierrabuendia
MX,52151600,Toluca,lindaolverajaimes
MX,52160200,La Piedad,
MX,52090100,Mexico City,carloscamargovazquez
MX,52070900,Tapachula,galcazaravendano
MX,52230100,Cancun,davidmachorroacuna
MX,52090100,Mexico City,michaelhernandezvega
MX,52140500,Guadalajara,yennifervargasmoya
MX,52220400,Queretaro,mvaltierravillalobos
MX,52030200,La Paz,
MX,52131100,Pachuca,
MX,52090100,Mexico City,mayraangelesmonroy
MX,52110500,Leon,alanmorenozarate
MX,52090100,Mexico City,pablotoxquiluevano
MX,52300900,Veracruz,
MX,52080200,Chihuahua,elopezramirez
MX,52040100,Campeche,julianalfarotejero
MX,52120200,Acapulco,
MX,52070900,Tapachula,
MX,52300200,Coatzacoalcos,
MX,52090100,Mexico City,renatosotelo
MX,52260200,Hermosillo,paulcontrerasherrera
MX,52110500,Leon,
MX,52290400,Tlaxcala,
MX,52200100,Oaxaca,jovanychavezmartinez
MX,52020100,Mexicali,achavarriazdeinert
MX,52240400,San Luis Potosi,jesusjuradodelarosa
MX,52040200,Carmen,
MX,52110200,Celaya,
MX,52090100,Mexico City,ymorenocarrero
MX,52140500,Guadalajara,cesargonzalezgarcia
MX,52280400,Victoria,pedrovargasmolina
MX,52090100,Mexico City,gustavodiazjimarez
MX,52050400,Torreon,
MX,52151600,Toluca,eiglesiasespinoza
MX,52131100,Pachuca,crodriguezgallardo
MX,52260400,Nogales(SON),
MX,52140500,Guadalajara,anamartinezcardona
MX,52160400,Morelia,
MX,52240400,San Luis Potosi,
MX,52090100,Mexico City,mcortesgregorio
MX,52302300,Las Choapas,
MX,52110500,Leon,febecarpioramos
MX,52290400,Tlaxcala,mmartinezescobar
MX,52140900,Puerto Vallarta,aldoariascarrera
MX,52080200,Chihuahua,mquinterounzueta
MX,52090100,Mexico City,pjimenezxelhuantzi
MX,52110300,Guanajuato,
MX,52110500,Leon,mariofloresgarcia
MX,52300900,Veracruz,amilcar
MX,52090100,Mexico City,monicaosoriolezama
MX,52160900,Zamora,
MX,52020200,Tijuana,senyasesanchezgarcia
MX,52210400,Puebla,bhernandezcasco
MX,52090100,Mexico City,leticiaayalaloa
MX,52030200,La Paz,jorgejimenezflores
MX,52280300,Tampico,menefthaaraujobarron
MX,52140900,Puerto Vallarta,
MX,52100200,Durango,raulcordobagonzalez
MX,52020200,Tijuana,elizabethvillacruz
MX,52270100,Villahermosa,luisasenciomartinez
MX,52060200,Manzanillo,
MX,52090100,Mexico City,itzeliangelesgarcia
MX,52210600,Tehuacan,mmartinezescobar
MX,52300900,Veracruz,wendyalarconarjona
MX,52280300,Tampico,manuelvalerojasso
MX,52080400,Delicias,mquinterounzueta
MX,52302300,Las Choapas,fgonzalezhernandez
MX,52090100,Mexico City,ariadnaorozcoruiz
MX,52010100,Aguascalientes,
MX,52230200,Solidaridad,
MX,52190500,Monterrey,franciscolopezpuente
MX,52060300,Minatitlan,
CR,506070100,San Jose,mariablanco
MX,52060100,Colima,
MX,52210400,Puebla,adrianmelchyadame
MX,52050500,Saltillo,
MX,52301300,Orizaba,
CR,506050100,Limon,
MX,52310300,Merida,ecortezmonforte
CR,506070100,San Jose,carlaalvarado
MX,52190500,Monterrey,sballesterosrincon
MX,52120200,Acapulco,miguelkirvanbilbao
MX,52180200,Tepic,clopezherrera
CR,506070100,San Jose,jocelynaraya
MX,52240100,Valles City,
MX,52250100,Culiacan,
MX,52050400,Torreon,ricardogarciafuerte
CR,506070100,San Jose,raulaviles
MX,52290100,Apizaco,
MX,52020300,Ensenada,olivervillegaszepeda
PE,51541300,Lima,
CR,506070100,San Jose,
MX,52100200,Durango,jgonzalezcarrasco
MX,52090100,Mexico City,davidciriacoquintana
CR,506030100,Liberia,
MX,52090100,Mexico City,jchilpagarcia
MX,52210400,Puebla,robertoterrazasramos
CR,506070100,San Jose,danielsanchez1
PE,51541300,Lima,josephulloa
MX,52190500,Monterrey,marcohernandezovalle
MX,52260100,Ciudad Obregon,almamachiavila
MX,52090100,Mexico City,jresendizlucas
MX,52320100,Zacatecas,jesuspuentedeharo
MX,52280500,Matamoros,pedrozamorafaz
MX,52240400,San Luis Potosi,luisosorniomorales
MX,52140500,Guadalajara,luisnavabarajas
MX,52280300,Tampico,
MX,52080400,Delicias,
MX,52110600,Salamanca,yleonmacias
PE,51411400,Trujillo,
MX,52140500,Guadalajara,hectorfimbresurias
MX,52160400,Morelia,mcampeasleon
MX,52270100,Villahermosa,javiertorrucogavito
MX,52250300,Mazatlan,
PE,51541300,Lima,eduardocelis
MX,52260200,Hermosillo,gvaleantelo
MX,52090100,Mexico City,aliciaruelascruz
MX,52190500,Monterrey,rolandoponcerangel
MX,52260300,Navojoa,ralvarezbaysegua
MX,52210600,Tehuacan,
MX,52151600,Toluca,yaneliramirez
MX,52280100,Nuevo Laredo,cespinosaescamilla
PE,51541300,Lima,marianoprado
MX,52230300,Chetumal,ronaldaguilarlopez
MX,52300600,Poza Rica de Hidalgo,ifernandezhernandez
CO,57390100,C¨²cuta,jessicagarcia
MX,52140500,Guadalajara,cfloreshernandez
MX,52160400,Morelia,gtzompantzihernandez
MX,52080200,Chihuahua,
MX,52110400,Irapuato,franciscodiazolguin
MX,52260100,Ciudad Obregon,ralvarezbaysegua
MX,52090100,Mexico City,sergiotorrespacheco
MX,52120500,Chilpancingo de los Bravo,
MX,52020100,Mexicali,ldominguezorozco
MX,52250100,Culiacan,erickquinonezosuna
MX,52020100,Mexicali,
CO,57380100,Bogot¨¢_ D.C.,andreismadrigallopez
MX,52030300,Los Cabos,
MX,52280100,Nuevo Laredo,
MX,52071100,Tuxtla Gutierrez,galcazaravendano
MX,52090100,Mexico City,lizbethvazquezaviles
MX,52140500,Guadalajara,rcastillogomez
CO,57070100,Cartagena,brayanhamburger
MX,52050400,Torreon,isaiolivasgonzalez
MX,52010100,Aguascalientes,horacioalonsoandrade
CO,57330100,Cali,dianagarciaaguirre
MX,52250100,Culiacan,jesuscardenasamador
MX,52020100,Mexicali,dulcedominguez
MX,52020200,Tijuana,
MX,52040200,Carmen,julianalfarotejero
CO,57010100,Medell¨ªn,sebastianrodriguez
MX,52220400,Queretaro,patriciasoloriolara
MX,52090100,Mexico City,eduardocamargotoriz
MX,52090100,Mexico City,fabianmenesesbarba
CO,57010100,Medell¨ªn,cesarcorrea
MX,52020200,Tijuana,paulinaarruticajiga
MX,52020300,Ensenada,karlapadillagomez
MX,52140500,Guadalajara,sofiamancillaalvarez
MX,52080800,Jaurez CHIH,
CO,57330100,Cali,luistorocastro
MX,52071100,Tuxtla Gutierrez,
MX,52110400,Irapuato,
MX,52151600,Toluca,
CO,57240100,Bucaramanga,jessicagarcia
MX,52140500,Guadalajara,jgutierrezmontes
MX,52080800,Jaurez CHIH,gustavodiazjimarez
MX,52260200,Hermosillo,cmorenomaldonado
CO,57390100,C¨²cuta,
MX,52250100,Culiacan,joelbeltranmedina
MX,52100200,Durango,
CO,57380100,Bogot¨¢_ D.C.,jhoncallenino
MX,52140500,Guadalajara,danielfregosomora
MX,52220400,Queretaro,nhernandezramirez
MX,52220200,San Juan del R¨ªo,yleonmacias
MX,52200100,Oaxaca,
CO,57370100,Valledupar,
MX,52301000,Xalapa,
MX,52204400,Abejones,
MX,52180200,Tepic,
CO,57010100,Medell¨ªn,juanvillegas
MX,52270100,Villahermosa,
MX,52070800,San Cristobal de las Casas,
CO,57380100,Bogot¨¢_ D.C.,sebastianbenitez
MX,52220400,Queretaro,mmartinezcovarrubias
MX,52250400,Los Mochis-Guasave,danielsalcedoavila
MX,52050200,Monclova,
MX,52180200,Tepic,jhosuebecerradelreal
CO,57010100,Medell¨ªn,sebastianzuluaga
MX,52190500,Monterrey,enriquecastilloreyna
MX,52140500,Guadalajara,jorgehernandezcocom
MX,52100200,Durango,lramosodriozola
CO,57210100,Villavicencio,
MX,52230300,Chetumal,
MX,52160800,Uruapan,
MX,52190500,Monterrey,josecastilloledesma
