country_code,city_name,organization_type,stat_date(月),Daily Orders
MX,Las Choapas,SME,2024-06-01 / 2024-06-01,86
MX,La Piedad,SME,2024-06-01 / 2024-06-01,-
MX,Tulancingo,SME,2024-06-01 / 2024-06-01,-
MX,Tlaxcala,DK,2024-06-01 / 2024-06-01,0
MX,Orizaba,SME,2024-06-01 / 2024-06-01,0
MX,Chetumal,DK,2024-06-01 / 2024-06-01,19
MX,Uruapan,SME,2024-06-01 / 2024-06-01,0
MX,Apizaco,SME,2024-06-01 / 2024-06-01,-
MX,Comitan de Dominguez,SME,2024-06-01 / 2024-06-01,-
MX,Cordoba,SME,2024-06-01 / 2024-06-01,569
MX,Carmen,SME,2024-06-01 / 2024-06-01,228
MX,Coatzacoalcos,DK,2024-06-01 / 2024-06-01,6
MX,Abejones,SME,2024-06-01 / 2024-06-01,-
MX,Tapachula,DK,2024-06-01 / 2024-06-01,6
MX,Minatitlan,SME,2024-06-01 / 2024-06-01,-
MX,Oaxaca,DK,2024-06-01 / 2024-06-01,53
MX,Campeche,DK,2024-06-01 / 2024-06-01,3
MX,Zamora,SME,2024-06-01 / 2024-06-01,-
MX,Chilpancingo de los Bravo,SME,2024-06-01 / 2024-06-01,0
MX,Solidaridad,DK,2024-06-01 / 2024-06-01,8
MX,Pachuca,DK,2024-06-01 / 2024-06-01,-
MX,Cordoba,DK,2024-06-01 / 2024-06-01,-
MX,Acapulco,DK,2024-06-01 / 2024-06-01,-
MX,Zamora,KA,2024-06-01 / 2024-06-01,-
MX,Veracruz,DK,2024-06-01 / 2024-06-01,11
MX,Villahermosa,DK,2024-06-01 / 2024-06-01,69
MX,Las Choapas,DK,2024-06-01 / 2024-06-01,-
MX,Poza Rica de Hidalgo,DK,2024-06-01 / 2024-06-01,-
MX,Tehuacan,DK,2024-06-01 / 2024-06-01,1
MX,Morelia,DK,2024-06-01 / 2024-06-01,31
MX,Xalapa,DK,2024-06-01 / 2024-06-01,6
MX,Campeche,SME,2024-06-01 / 2024-06-01,488
MX,Acapulco,SME,2024-06-01 / 2024-06-01,287
MX,Tehuacan,SME,2024-06-01 / 2024-06-01,253
MX,Solidaridad,SME,2024-06-01 / 2024-06-01,212
MX,Xalapa,SME,2024-06-01 / 2024-06-01,331
MX,Villahermosa,SME,2024-06-01 / 2024-06-01,1464
MX,Tlaxcala,SME,2024-06-01 / 2024-06-01,434
MX,Morelia,SME,2024-06-01 / 2024-06-01,2356
MX,Coatzacoalcos,SME,2024-06-01 / 2024-06-01,230
