month_,country_code,organization_type,city_name,first_online_date,shop_cnt,complete_orders,daily_orders
6,MX,Normal,Toluca,2024-02-22,3,32,1.0666666666666667
6,CO,Normal,Cali,2024-02-02,2,129,4.3
6,CO,CKA,Bogotá_ D.C.,2024-04-18,3,240,15.0
6,MX,CKA,Monterrey,2024-01-09,1,36,1.2
6,MX,CKA,Jaurez CHIH,2024-05-20,1,0,0.0
6,MX,Normal,Mexico City,2024-04-28,3,30,1.1538461538461537
6,MX,CKA,Mexico City,2024-05-13,2,44,1.4666666666666666
6,MX,Normal,Chihuahua,2024-04-01,2,78,2.6
6,MX,CKA,Culiacan,2024-01-03,2,15,0.5
6,MX,CKA,San Cristobal de las Casas,2024-04-10,1,52,6.5
6,MX,Normal,Cancun,2024-04-26,1,5,0.8333333333333334
6,MX,Normal,San Luis Potosi,2024-06-13,3,131,7.277777777777778
6,MX,Normal,Irapuato,2024-03-15,1,3,0.1
6,MX,Normal,Puebla,2024-01-24,1,1,0.03333333333333333
6,MX,Normal,Puebla,2024-05-24,4,346,11.533333333333333
6,CO,CKA,Cali,2024-04-24,1,18,0.8181818181818182
6,MX,Normal,Jaurez CHIH,2024-01-17,1,0,0.0
6,MX,Normal,Monterrey,2024-03-01,1,57,1.9
6,MX,Normal,Toluca,2024-01-23,3,111,3.7
6,PE,CKA,Lima,2024-01-23,2,189,6.3
6,MX,Normal,Mexicali,2024-04-13,2,49,4.454545454545454
6,MX,Normal,Oaxaca,2024-02-16,1,108,3.6
6,CO,Normal,Bogotá_ D.C.,2024-05-28,1,20,0.6666666666666666
6,MX,Normal,Guadalajara,2024-03-17,1,133,4.433333333333334
6,MX,Normal,Jaurez CHIH,2024-02-16,3,335,11.166666666666666
6,MX,CKA,Solidaridad,2024-03-25,1,111,3.7
6,MX,Normal,Puebla,2024-04-19,5,23,1.3529411764705883
6,PE,Normal,Lima,2024-04-10,2,3,0.375
6,MX,Normal,Tlaxcala,2024-04-12,1,0,0.0
6,MX,Normal,Mexico City,2024-05-25,5,160,5.333333333333333
6,MX,Normal,Monterrey,2024-01-24,4,315,10.5
6,PE,Normal,Lima,2024-01-18,17,205,6.833333333333333
6,MX,Normal,Morelia,2024-05-15,1,25,0.8333333333333334
6,MX,Normal,Aguascalientes,2024-04-12,1,1,0.1
6,CO,CKA,Bogotá_ D.C.,2024-04-26,3,4,0.6666666666666666
6,MX,Normal,Mexicali,2024-01-15,1,0,0.0
