country_code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Poza Rica de Hidalgo,CKA,2024-06-24 / 2024-06-30,1.0
MX,Morelia,CKA,2024-06-24 / 2024-06-30,51.0
MX,Zacatecas,CKA,2024-06-24 / 2024-06-30,10.0
MX,Tuxtla Gutierrez,CKA,2024-06-24 / 2024-06-30,10.0
MX,Cancun,CKA,2024-06-24 / 2024-06-30,51.0
MX,San Juan del Rio,CKA,2024-06-24 / 2024-06-30,5.0
MX,Guadalajara,CKA,2024-06-24 / 2024-06-30,430.0
MX,Colima,CKA,2024-06-24 / 2024-06-30,7.0
MX,Merida,CKA,2024-06-24 / 2024-06-30,28.0
MX,San Luis Potosi,CKA,2024-06-24 / 2024-06-30,29.0
MX,Monterrey,CKA,2024-06-24 / 2024-06-30,331.0
MX,Villahermosa,CKA,2024-06-24 / 2024-06-30,59.0
MX,Acapulco,CKA,2024-06-24 / 2024-06-30,1.0
MX,Toluca,CKA,2024-06-24 / 2024-06-30,64.0
MX,Campeche,CKA,2024-06-24 / 2024-06-30,2.0
MX,Torreon,CKA,2024-06-24 / 2024-06-30,44.0
MX,Queretaro,CKA,2024-06-24 / 2024-06-30,87.0
MX,Celaya,CKA,2024-06-24 / 2024-06-30,14.0
MX,Solidaridad,CKA,2024-06-24 / 2024-06-30,2.0
MX,Pachuca,CKA,2024-06-24 / 2024-06-30,13.0
MX,Cordoba,CKA,2024-06-24 / 2024-06-30,9.0
MX,Culiacan,CKA,2024-06-24 / 2024-06-30,116.0
MX,Nuevo Laredo,CKA,2024-06-24 / 2024-06-30,6.0
MX,Hermosillo,CKA,2024-06-24 / 2024-06-30,63.0
MX,Jaurez CHIH,CKA,2024-06-24 / 2024-06-30,159.0
MX,Tapachula,CKA,2024-06-24 / 2024-06-30,1.0
MX,Oaxaca,CKA,2024-06-24 / 2024-06-30,58.0
MX,Tampico,CKA,2024-06-24 / 2024-06-30,35.0
MX,Veracruz,CKA,2024-06-24 / 2024-06-30,20.0
MX,Tehuacan,CKA,2024-06-24 / 2024-06-30,1.0
MX,Xalapa,CKA,2024-06-24 / 2024-06-30,1.0
MX,Los Mochis-Guasave,CKA,2024-06-24 / 2024-06-30,21.0
MX,Saltillo,CKA,2024-06-24 / 2024-06-30,55.0
MX,Puerto Vallarta,CKA,2024-06-24 / 2024-06-30,4.0
MX,Mexicali,CKA,2024-06-24 / 2024-06-30,142.0
MX,La Paz,CKA,2024-06-24 / 2024-06-30,8.0
MX,Navojoa,CKA,2024-06-24 / 2024-06-30,2.0
MX,Carmen,CKA,2024-06-24 / 2024-06-30,1.0
MX,Tlaxcala,CKA,2024-06-24 / 2024-06-30,2.0
MX,Tepic,CKA,2024-06-24 / 2024-06-30,35.0
MX,Los Cabos,CKA,2024-06-24 / 2024-06-30,11.0
MX,Coatzacoalcos,CKA,2024-06-24 / 2024-06-30,3.0
MX,Mazatlan,CKA,2024-06-24 / 2024-06-30,20.0
MX,Ciudad Obregon,CKA,2024-06-24 / 2024-06-30,38.0
MX,Tijuana,CKA,2024-06-24 / 2024-06-30,130.0
MX,Cuernavaca,CKA,2024-06-24 / 2024-06-30,59.0
MX,Irapuato,CKA,2024-06-24 / 2024-06-30,6.0
MX,Delicias,CKA,2024-06-24 / 2024-06-30,2.0
MX,San Cristobal de las Casas,CKA,2024-06-24 / 2024-06-30,1.0
MX,Manzanillo,CKA,2024-06-24 / 2024-06-30,8.0
MX,Ensenada,CKA,2024-06-24 / 2024-06-30,42.0
MX,Mexico City,CKA,2024-06-24 / 2024-06-30,689.0
MX,Matamoros,CKA,2024-06-24 / 2024-06-30,22.0
MX,Leon,CKA,2024-06-24 / 2024-06-30,36.0
MX,Aguascalientes,CKA,2024-06-24 / 2024-06-30,27.0
MX,Salamanca,CKA,2024-06-24 / 2024-06-30,1.0
MX,Victoria,CKA,2024-06-24 / 2024-06-30,12.0
MX,Durango,CKA,2024-06-24 / 2024-06-30,82.0
MX,Chihuahua,CKA,2024-06-24 / 2024-06-30,152.0
MX,Puebla,CKA,2024-06-24 / 2024-06-30,119.0
MX,Navojoa,SME,2024-06-24 / 2024-06-30,19.0
MX,Manzanillo,SME,2024-06-24 / 2024-06-30,32.0
