Farming BDMs CKA,dgarzaloya,,,,,,,,,100.0%,,,,
Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
OKR 1.1,Daily Orders CKA,0,0,0,0,0,0,0,0,30.0%,,,Daily Orders,Avg full year
Objective 2: Selection,,,,,,,,,,20.0%,,,,
KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
a),CKA Daily Orders for Rs FO in current year,0,0,0,0,0,0,0,0,5.0%,,,Orders contributed for Rs with less than 60 days in the platform,Q4
KR 2.2,CKA # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
a),CKA # of R1s  (5+ Daily Orders),0,0,0,0,0,0,0,0,15.0%,,,#of R1s(5+ Daily Orders),Q4
Objective 3: Affordability,,,,,,,,,,25.0%,,,,
KR 3.3,Promotional Coverage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12.5%,,,Promotional coverage (Nominal # of Rs accepted),TBD
KR 3.4,Promotion quality,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12.5%,,,% of top 3 items with promotion (Offer) Co-Subs (2 weeks of the month),TBD
Objective 4: Experience,,,,,,,,,,10.0%,,,,
KR 4.1,B cancellation rate,-,-,-,-,-,-,-,-,,,,,
a),CKAs B cancellation rate,1.26%,0.99%,0,0,0,0,0,0,5.0%,,,CKA B-duty cancellations over total orders,Avg full year
KR 4.2,Imperfect orders,-,-,-,-,-,-,-,-,,,,,
a),CKAs imperfect orders,1.87%,1.78%,0,0,0,0,0,0,5.0%,,,CKA Wrong food / Missing item over total orders,Avg full year
