Breakdown of Team Goals,,,,,,,,,,,Responsible Person,,Data,
Objective and Key Results,,Mexico,,Colombia,,Peru,,Costa Rica,,Weight,Owner,Support,Definition,Data Parameter
,,"Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')",,,,,
Hunting BDMs SME,manuelsanjuan,,,,,,,,,100.0%,,,,
Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
OKR 1.1,Daily Orders SME,1400.9579485389677,1787.429106756614,0,0,0,0,0,0,30.0%,,,Daily Orders,Avg full year
Objective 2: Selection,,,,,,,,,,50.0%,,,,
KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
a),Daily Orders of Rs acquired in 2024,0.1370797135679764,0.23788568932091855,0,0,0,0,0,0,25.0%,,,Orders contributed for Rs with less than 60 days in the platform,Q4
b),SME Total Rs Acquired (By BDs),0.8073379496402878,706.5487410071942,0,0,0,0,0,0,15.0%,,,Sum of all Rs +4 orders acquired in 2024 by BDs,Full year
KR 2.2,SME # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
a),SME # of R1s  (5+ Daily Orders),0.08593150544181445,0.12552510465027777,0,0,0,0,0,0,10.0%,,,#of R1s(5+ Daily Orders),Q4
